"表章項目","地域","時間軸（月・四半期・年）","/事業活動の産業","39情報サービス業","40インターネット附随サービス業","68不動産取引業","75宿泊業","76飲食店"
"売上高（収入額）【百万円】","全国","2013年1月","","1589656","203419","704019","369972","1585343"
"売上高（収入額）【百万円】","全国","2013年2月","","1636890","207244","870694","351783","1479451"
"売上高（収入額）【百万円】","全国","2013年3月","","2782087","223914","1466448","403257","1761851"
"売上高（収入額）【百万円】","全国","2013年4月","","1471358","202418","972505","386246","1623425"
"売上高（収入額）【百万円】","全国","2013年5月","","1507417","210397","881531","433736","1697786"
"売上高（収入額）【百万円】","全国","2013年6月","","1919583","217503","972012","399796","1627724"
"売上高（収入額）【百万円】","全国","2013年7月","","1572979","216320","1139932","436534","1706465"
"売上高（収入額）【百万円】","全国","2013年8月","","1587191","205750","1050495","574802","1808233"
"売上高（収入額）【百万円】","全国","2013年9月","","2221030","210912","1055793","428952","1602038"
"売上高（収入額）【百万円】","全国","2013年10月","","1562805","192935","987661","440477","1612911"
"売上高（収入額）【百万円】","全国","2013年11月","","1630702","205628","936106","442243","1640036"
"売上高（収入額）【百万円】","全国","2013年12月","","2013592","225665","1086005","419955","1889182"
"売上高（収入額）【百万円】","全国","2014年1月","","1648896","203914","815000","372833","1643592"
"売上高（収入額）【百万円】","全国","2014年2月","","1746380","207980","1024671","338334","1436253"
"売上高（収入額）【百万円】","全国","2014年3月","","3097602","234850","1710814","423771","1782366"
"売上高（収入額）【百万円】","全国","2014年4月","","1535430","195839","989165","378989","1668842"
"売上高（収入額）【百万円】","全国","2014年5月","","1595401","201420","1039543","437122","1739813"
"売上高（収入額）【百万円】","全国","2014年6月","","2010680","211697","1198340","393979","1625847"
"売上高（収入額）【百万円】","全国","2014年7月","","1635730","208002","1168299","443319","1703611"
"売上高（収入額）【百万円】","全国","2014年8月","","1607231","210520","1127995","576818","1818479"
"売上高（収入額）【百万円】","全国","2014年9月","","2369637","217875","1085059","436680","1622690"
"売上高（収入額）【百万円】","全国","2014年10月","","1640457","206586","873687","451741","1624178"
"売上高（収入額）【百万円】","全国","2014年11月","","1688380","210928","948647","451840","1673495"
"売上高（収入額）【百万円】","全国","2014年12月","","2163904","230141","1030517","409889","1863178"
"売上高（収入額）【百万円】","全国","2015年1月","","1677019","215096","764278","366224","1645331"
"売上高（収入額）【百万円】","全国","2015年2月","","1765314","219207","1039192","339786","1521012"
"売上高（収入額）【百万円】","全国","2015年3月","","3740051","247959","1800899","431155","1788169"
"売上高（収入額）【百万円】","全国","2015年4月","","1562257","212174","1010276","374470","1683000"
"売上高（収入額）【百万円】","全国","2015年5月","","1558237","218021","983006","469059","1780551"
"売上高（収入額）【百万円】","全国","2015年6月","","2148516","226034","1169847","364711","1635940"
"売上高（収入額）【百万円】","全国","2015年7月","","1671953","221170","1123586","450011","1772103"
"売上高（収入額）【百万円】","全国","2015年8月","","1658144","227836","1118686","621611","1886908"
"売上高（収入額）【百万円】","全国","2015年9月","","2605159","231178","1121137","451525","1664117"
"売上高（収入額）【百万円】","全国","2015年10月","","1643854","231794","825802","475773","1719300"
"売上高（収入額）【百万円】","全国","2015年11月","","1693045","228029","929252","461478","1667659"
"売上高（収入額）【百万円】","全国","2015年12月","","2344614","256540","1092650","427594","1948035"
"売上高（収入額）【百万円】","全国","2016年1月","","1702215","240895","790817","398219","1687241"
"売上高（収入額）【百万円】","全国","2016年2月","","1820568","247749","1046213","382909","1549910"
"売上高（収入額）【百万円】","全国","2016年3月","","3739880","294633","1788836","451353","1779797"
"売上高（収入額）【百万円】","全国","2016年4月","","1585936","237475","1051067","404558","1688494"
"売上高（収入額）【百万円】","全国","2016年5月","","1673482","238151","909884","453411","1751490"
"売上高（収入額）【百万円】","全国","2016年6月","","2215667","253365","1177332","383441","1656534"
"売上高（収入額）【百万円】","全国","2016年7月","","1712975","249687","1093877","487074","1822508"
"売上高（収入額）【百万円】","全国","2016年8月","","1727137","250835","1108458","637375","1847081"
"売上高（収入額）【百万円】","全国","2016年9月","","2644180","264349","1114846","433750","1637668"
"売上高（収入額）【百万円】","全国","2016年10月","","1690860","253021","749250","494022","1731760"
"売上高（収入額）【百万円】","全国","2016年11月","","1792274","255405","864027","462827","1673524"
"売上高（収入額）【百万円】","全国","2016年12月","","2340472","285726","1121784","440508","1969885"
"売上高（収入額）【百万円】","全国","2017年1月","","1811907","253143","844613","389427","1695433"
"売上高（収入額）【百万円】","全国","2017年2月","","1892241","255580","1074463","372696","1544215"
"売上高（収入額）【百万円】","全国","2017年3月","","3614262","327206","2027506","446250","1833912"
"売上高（収入額）【百万円】","全国","2017年4月","","1699804","245023","1085572","409123","1759139"
"売上高（収入額）【百万円】","全国","2017年5月","","1733025","264742","1062700","462268","1776978"
"売上高（収入額）【百万円】","全国","2017年6月","","2278547","284563","1174616","408203","1678913"
"売上高（収入額）【百万円】","全国","2017年7月","","1831029","278432","1020871","478265","1792372"
"売上高（収入額）【百万円】","全国","2017年8月","","1827436","288787","1071196","583936","1846994"
"売上高（収入額）【百万円】","全国","2017年9月","","2649927","304247","1097307","435806","1673190"
"売上高（収入額）【百万円】","全国","2017年10月","","1794346","246221","873989","487469","1680841"
"売上高（収入額）【百万円】","全国","2017年11月","","1797709","249624","1084852","481260","1690331"
"売上高（収入額）【百万円】","全国","2017年12月","","2358791","275032","1208163","456072","1979342"
"売上高（収入額）【百万円】","全国","2018年1月","","1855017","258183","883866","390239","1668848"
"売上高（収入額）【百万円】","全国","2018年2月","","1944978","252168","1095508","375905","1539164"
"売上高（収入額）【百万円】","全国","2018年3月","","3723793","294561","2203387","448773","1856982"
"売上高（収入額）【百万円】","全国","2018年4月","","1714723","260080","1238594","410725","1756604"
"売上高（収入額）【百万円】","全国","2018年5月","","1771508","261799","974613","450923","1738200"
"売上高（収入額）【百万円】","全国","2018年6月","","2302930","273049","1193962","403118","1686227"
"売上高（収入額）【百万円】","全国","2018年7月","","1839672","277289","1231799","444739","1752908"
"売上高（収入額）【百万円】","全国","2018年8月","","1850107","272532","1066301","577350","1857589"
"売上高（収入額）【百万円】","全国","2018年9月","","2707186","293249","1166839","437099","1645225"
"売上高（収入額）【百万円】","全国","2018年10月","","1861343","285442","872561","472148","1698973"
"売上高（収入額）【百万円】","全国","2018年11月","","1862236","296511","1034846","470513","1718487"
"売上高（収入額）【百万円】","全国","2018年12月","","2456239","321110","1147462","449722","1987470"
"売上高（収入額）【百万円】","全国","2019年1月","","1858007","285621","806585","402021","1648686"
"売上高（収入額）【百万円】","全国","2019年2月","","1932447","282910","1239963","383944","1550529"
"売上高（収入額）【百万円】","全国","2019年3月","","3657961","349505","1877749","452931","1833547"
"売上高（収入額）【百万円】","全国","2019年4月","","1761403","302927","1164364","440345","1729444"
"売上高（収入額）【百万円】","全国","2019年5月","","1834932","286613","991120","489548","1730472"
"売上高（収入額）【百万円】","全国","2019年6月","","2388126","300451","1208870","408564","1645008"
"売上高（収入額）【百万円】","全国","2019年7月","","2047612","299947","1087740","495393","1692089"
"売上高（収入額）【百万円】","全国","2019年8月","","1939787","314453","1045680","664917","1813696"
"売上高（収入額）【百万円】","全国","2019年9月","","2925138","314382","1385112","477470","1614053"
"売上高（収入額）【百万円】","全国","2019年10月","","1907095","294263","811246","477733","1597407"
"売上高（収入額）【百万円】","全国","2019年11月","","1867565","303699","906590","493181","1704329"
"売上高（収入額）【百万円】","全国","2019年12月","","2592601","330970","1305699","461159","1958374"
"売上高（収入額）【百万円】","全国","2020年1月","","2021421","307711","836354","403203","1660809"
"売上高（収入額）【百万円】","全国","2020年2月","","1972743","300230","1147372","362261","1509541"
"売上高（収入額）【百万円】","全国","2020年3月","","3665096","337582","2116774","243485","1342779"
"売上高（収入額）【百万円】","全国","2020年4月","","1754934","312966","1062657","107520","650055"
"売上高（収入額）【百万円】","全国","2020年5月","","1731743","284180","900251","92943","747595"
"売上高（収入額）【百万円】","全国","2020年6月","","2395539","301183","1065413","155440","1108286"
