year,month,TOPIX,nikkei
2007,2,1752.24,17604.12
2007,3,1713.61,17287.65
2007,4,1701,17400.41
2007,5,1755.68,17875.75
2007,6,1774.88,18138.36
2007,7,1706.18,17248.89
2007,8,1608.25,16569.09
2007,9,1616.62,16785.69
2007,10,1620.07,16737.63
2007,11,1531.88,15680.67
2007,12,1475.68,15307.78
2008,1,1346.31,13592.47
2008,2,1324.28,13603.02
2008,3,1212.96,12525.54
2008,4,1358.65,13849.99
2008,5,1408.14,14338.54
2008,6,1320.1,13481.38
2008,7,1303.62,13376.81
2008,8,1254.71,13072.87
2008,9,1087.41,11259.86
2008,10,867.12,8576.98
2008,11,834.82,8512.27
2008,12,859.24,8859.56
2009,1,794.03,7994.05
2009,2,756.71,7568.42
2009,3,773.66,8109.53
2009,4,837.79,8828.26
2009,5,897.91,9522.5
2009,6,929.76,9958.44
2009,7,950.26,10356.83
2009,8,965.73,10492.53
2009,9,909.84,10133.23
2009,10,894.67,10034.74
2009,11,839.94,9345.55
2009,12,907.59,10546.44
2010,1,901.12,10198.04
2010,2,894.1,10126.03
2010,3,978.81,11089.94
2010,4,987.04,11057.4
2010,5,880.46,9768.7
2010,6,841.42,9382.64
2010,7,849.5,9537.3
2010,8,804.67,8824.06
2010,9,829.51,9369.35
2010,10,810.91,9202.45
2010,11,860.94,9937.04
2010,12,898.8,10228.92
2011,1,910.08,10237.92
2011,2,951.27,10624.09
2011,3,869.38,9755.1
2011,4,851.85,9849.74
2011,5,838.48,9693.73
2011,6,849.22,9816.09
2011,7,841.37,9833.03
2011,8,770.6,8955.2
2011,9,761.17,8700.29
2011,10,764.06,8988.39
2011,11,728.46,8434.61
2011,12,728.61,8455.35
2012,1,755.27,8802.51
2012,2,835.96,9723.24
2012,3,854.35,10083.56
2012,4,804.27,9520.89
2012,5,719.49,8542.73
2012,6,770.08,9006.78
2012,7,736.31,8695.06
2012,8,731.64,8839.91
2012,9,737.42,8870.16
2012,10,742.33,8928.29
2012,11,781.46,9446.01
2012,12,859.8,10395.18
2013,1,940.25,11138.66
2013,2,975.66,11559.36
2013,3,1034.71,12397.91
2013,4,1165.13,13860.86
2013,5,1135.78,13774.54
2013,6,1133.84,13677.32
2013,7,1131.7,13668.32
2013,8,1106.05,13388.86
2013,9,1194.1,14455.8
2013,10,1194.26,14327.94
2013,11,1258.66,15661.87
2013,12,1302.29,16291.31
2014,1,1220.64,14914.53
2014,2,1211.66,14841.07
2014,3,1202.89,14827.83
2014,4,1162.44,14304.11
2014,5,1201.41,14632.38
2014,6,1262.56,15162.1
2014,7,1289.42,15620.77
2014,8,1277.97,15424.59
2014,9,1326.29,16173.52
2014,10,1333.64,16413.76
2014,11,1410.34,17459.85
2014,12,1407.51,17450.77
2015,1,1415.07,17674.39
2015,2,1523.85,18797.94
2015,3,1543.11,19206.99
2015,4,1592.79,19520.01
2015,5,1673.65,20563.15
2015,6,1630.4,20235.73
2015,7,1659.52,20585.24
2015,8,1537.05,18890.48
2015,9,1411.16,17388.15
2015,10,1558.2,19083.1
2015,11,1580.25,19747.47
2015,12,1547.3,19033.71
2016,1,1432.07,17518.3
2016,2,1297.85,16026.76
2016,3,1347.2,16758.67
2016,4,1340.55,16666.05
2016,5,1379.8,17234.98
2016,6,1245.82,15575.92
2016,7,1322.74,16569.27
2016,8,1329.54,16887.4
2016,9,1322.78,16449.84
2016,10,1393.02,17425.02
2016,11,1469.43,18308.48
2016,12,1518.61,19114.37
2017,1,1521.67,19041.34
2017,2,1535.32,19118.99
2017,3,1512.6,18909.26
2017,4,1531.8,19196.74
2017,5,1568.37,19650.57
2017,6,1611.9,20033.43
2017,7,1618.61,19925.18
2017,8,1617.41,19646.24
2017,9,1674.75,20356.28
2017,10,1765.96,22011.61
2017,11,1792.08,22724.96
2017,12,1817.56,22764.94
2018,1,1836.71,23098.29
2018,2,1768.24,22068.24
2018,3,1716.3,21454.3
2018,4,1777.23,22467.87
2018,5,1747.45,22201.82
2018,6,1730.89,22304.51
2018,7,1753.29,22553.72
2018,8,1735.35,22865.15
2018,9,1817.25,24120.04
2018,10,1646.12,21920.46
2018,11,1667.45,22351.06
2018,12,1494.09,20014.77
2019,1,1567.49,20773.49
2019,2,1607.66,21385.16
2019,3,1591.64,21205.81
2019,4,1617.93,22258.73
2019,5,1512.28,20601.19
2019,6,1551.14,21275.92
2019,7,1565.14,21521.53
2019,8,1511.86,20704.37
2019,9,1587.8,21755.84
2019,10,1667.01,22927.04
2019,11,1699.36,23293.91
2019,12,1721.36,23656.62
2020,1,1684.44,23205.18
2020,2,1510.87,21142.96
2020,3,1403.04,18917.01
2020,4,1464.03,20193.69
2020,5,1563.67,21877.89
2020,6,1558.77,22288.14
2020,7,1496.06,21710
2020,8,1618.18,23139.76
